Id,Id2,State,score,Total Population 18 to 24 years,Total Population 18 to 24 years - MOE,Bachelor's degree or higher,Bachelor's degree or higher - MOE,Bachelor's degree or higher - Percent,Bachelor's degree or higher - Percent MOE,Some college or associate's degree,Some college or associate's degree - MOE,Some college or associate's degree - Percent,Some college or associate's degree - Percent MOE,High school graduate (includes equivalency),High school graduate (includes equivalency) - MOE,High school graduate (includes equivalency) - Percent,High school graduate (includes equivalency) - Percent MOE,Less than high school graduate,Less than high school graduate - MOE,Less than high school graduate - Percent,Less than high school graduate - Percent MOE
0400000US13,13,Georgia,48.54729316,1008606,2023,87541,2280,8.7,0.2,436649,4313,43.3,0.4,320471,4230,31.8,0.4,163945,3078,16.3,0.3
0400000US15,15,Hawaii,55.37210653,129755,154,11059,736,8.5,0.6,58859,1415,45.4,1.1,50245,1494,38.7,1.1,9592,723,7.4,0.6
0400000US16,16,Idaho,53.10330597,157451,673,10510,920,6.7,0.6,71385,1843,45.3,1.2,54699,1725,34.7,1.1,20857,1024,13.2,0.6
0400000US17,17,Illinois,69.95119861,1229450,995,160396,2557,13,0.2,565538,4898,46,0.4,347685,4050,28.3,0.3,155831,2738,12.7,0.2
0400000US18,18,Indiana,48.9419403,667112,1160,63476,1765,9.5,0.3,287109,3332,43,0.5,209423,2761,31.4,0.4,107104,2559,16.1,0.4
0400000US19,19,Iowa,86.60724457,321484,817,34342,1517,10.7,0.5,168170,2230,52.3,0.7,85530,1814,26.6,0.6,33442,1091,10.4,0.3
0400000US20,20,Kansas,76.3041062,298805,851,30944,1517,10.4,0.5,149709,2137,50.1,0.7,82269,1495,27.5,0.5,35883,1153,12,0.4
0400000US21,21,Kentucky,51.28258483,425585,1143,35211,1166,8.3,0.3,188724,2522,44.3,0.6,147429,2361,34.6,0.5,54221,1513,12.7,0.4
0400000US22,22,Louisiana,42.95967441,458659,1023,34315,1598,7.5,0.3,192295,2966,41.9,0.6,150304,2776,32.8,0.6,81745,2190,17.8,0.5
0400000US23,23,Maine,65.08365578,112245,439,11326,813,10.1,0.7,53178,1293,47.4,1.1,35083,1413,31.3,1.2,12658,826,11.3,0.7
0400000US24,24,Maryland,70.80073052,553039,660,73818,1990,13.3,0.4,253123,2561,45.8,0.5,163519,2685,29.6,0.5,62579,1847,11.3,0.3
0400000US25,25,Massachusetts,100,699251,642,121530,1884,17.4,0.3,312066,2855,44.6,0.4,191937,2667,27.4,0.4,73718,1795,10.5,0.3
0400000US26,26,Michigan,67.59047292,997075,899,98688,2391,9.9,0.2,480248,4310,48.2,0.4,288593,3370,28.9,0.3,129546,2395,13,0.2
0400000US27,27,Minnesota,75.72463043,505783,780,65556,1719,13,0.3,240674,2188,47.6,0.4,137900,2450,27.3,0.5,61653,1354,12.2,0.3
0400000US28,28,Mississippi,66.18298473,303818,1067,18568,1289,6.1,0.4,148747,2431,49,0.8,87882,2194,28.9,0.7,48621,1665,16,0.5
0400000US29,29,Missouri,62.48745709,585682,1068,58951,2072,10.1,0.4,273399,3150,46.7,0.5,177962,2888,30.4,0.5,75370,1912,12.9,0.3
0400000US30,30,Montana,51.954331,99785,631,7419,589,7.4,0.6,44699,1370,44.8,1.3,34311,1104,34.4,1.1,13356,732,13.4,0.7
0400000US31,31,Nebraska,82.02053558,190260,476,20580,841,10.8,0.4,97466,1547,51.2,0.8,51762,1285,27.2,0.7,20452,904,10.7,0.5
0400000US32,32,Nevada,37.85789883,249700,327,13242,759,5.3,0.3,101232,1958,40.5,0.8,91382,2110,36.6,0.8,43844,1581,17.6,0.6
0400000US33,33,New Hampshire,69.46613897,128520,441,17040,1006,13.3,0.8,58389,1441,45.4,1.2,39721,1415,30.9,1.1,13370,955,10.4,0.7
0400000US34,34,New Jersey,79.88519451,796641,468,121440,2352,15.2,0.3,357976,3601,44.9,0.5,224905,2793,28.2,0.3,92320,2032,11.6,0.3
0400000US35,35,New Mexico,59.41917829,205471,796,11202,966,5.5,0.5,97102,1753,47.3,0.9,60873,1603,29.6,0.8,36294,1593,17.7,0.8
0400000US36,36,New York,88.71426136,1934115,1164,303403,3888,15.7,0.2,894633,5814,46.3,0.3,501982,5111,26,0.3,234097,3865,12.1,0.2
0400000US37,37,North Carolina,57.56542335,978834,1336,94215,2680,9.6,0.3,446731,4556,45.6,0.5,301908,3976,30.8,0.4,135980,2512,13.9,0.3
0400000US38,38,North Dakota,89.73390749,89615,583,11217,892,12.5,1,46277,1173,51.6,1.4,24299,1070,27.1,1.2,7822,626,8.7,0.7
0400000US39,39,Ohio,52.81755679,1094438,1052,108924,2549,10,0.2,480628,2976,43.9,0.3,355365,3522,32.5,0.3,149521,2769,13.7,0.3
0400000US40,40,Oklahoma,47.49262181,386488,739,28833,1245,7.5,0.3,167745,2038,43.4,0.5,128171,1806,33.2,0.4,61739,1288,16,0.3
0400000US41,41,Oregon,62.0190435,362918,764,32415,1458,8.9,0.4,171370,2671,47.2,0.7,108863,2172,30,0.6,50270,1521,13.9,0.4
0400000US42,42,Pennsylvania,56.71907575,1215635,851,147934,2802,12.2,0.2,522655,3816,43,0.3,397694,3691,32.7,0.3,147352,2537,12.1,0.2
0400000US44,44,Rhode Island,76.16206408,116295,489,14544,788,12.5,0.7,56181,1332,48.3,1.1,34090,1109,29.3,1,11480,812,9.9,0.7
0400000US45,45,South Carolina,55.20246785,476888,822,42001,1843,8.8,0.4,215921,2820,45.3,0.6,152601,2562,32,0.5,66365,1816,13.9,0.4
0400000US46,46,South Dakota,61.76768491,83878,469,8081,629,9.6,0.7,39275,1069,46.8,1.3,24796,1171,29.6,1.3,11726,669,14,0.8
0400000US47,47,Tennessee,48.9125473,621284,1162,58510,1981,9.4,0.3,267424,3411,43,0.5,221523,3401,35.7,0.5,73827,2241,11.9,0.4
0400000US48,48,Texas,50.66305533,2752064,1754,229967,3811,8.4,0.1,1212346,7501,44.1,0.3,876380,6554,31.8,0.2,433371,6055,15.7,0.2
0400000US49,49,Utah,73.99520708,339440,539,22735,955,6.7,0.3,172436,2339,50.8,0.7,102622,2095,30.2,0.6,41647,1365,12.3,0.4
0400000US50,50,Vermont,72.05098376,66956,350,8365,654,12.5,1,31605,774,47.2,1.2,20506,691,30.6,1,6480,622,9.7,0.9
0400000US51,51,Virginia,69.58920608,818913,1595,102882,2164,12.6,0.3,380219,3032,46.4,0.4,251402,3148,30.7,0.4,84410,2279,10.3,0.3
0400000US53,53,Washington,53.77251351,658536,690,71818,2049,10.9,0.3,286169,3294,43.5,0.5,204313,3098,31,0.5,96236,2222,14.6,0.3
0400000US54,54,West Virginia,47.1037649,166309,641,12692,779,7.6,0.5,71820,1431,43.2,0.9,61149,1572,36.8,0.9,20648,1057,12.4,0.6
0400000US55,55,Wisconsin,62.44322314,561451,668,60997,2020,10.9,0.4,258752,3113,46.1,0.5,178370,2337,31.8,0.4,63332,1747,11.3,0.3
0400000US56,56,Wyoming,58.91367986,56225,573,3682,497,6.5,0.9,26423,960,47,1.7,18607,831,33.1,1.4,7513,633,13.4,1.1
0400000US72,72,Puerto Rico,85.52338144,346845,294,26581,1421,7.7,0.4,184354,2977,53.2,0.9,99577,2332,28.7,0.7,36333,1381,10.5,0.4
